ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_23_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group
1693467,2011-05-16 13:58:24,2011-05-16 14:09:39,1,1,85,NA,1,NA,NA,NA,1,NA,NA,2,2,0,0,2,2,2,2,2,1,2,2,2,2,0,2,1,0,0,0,1,1,2
707451,2011-05-16 13:58:27,2011-05-16 14:09:39,1,1,100,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
942454,2011-05-16 14:03:04,2011-05-16 14:09:42,1,1,100,1,1,1,1,1,NA,NA,NA,1,2,1,1,1,1,1,2,0,0,0,1,0,1,0,1,1,1,0,0,2,1,2
1263062,2011-05-16 13:55:13,2011-05-16 14:09:58,1,1,100,1,1,1,1,NA,1,NA,1,1,0,0,0,1,2,2,1,0,0,1,1,0,1,0,0,1,2,0,0,0,1,2
1154391,2011-05-16 13:58:21,2011-05-16 14:10:12,1,1,100,1,1,1,1,NA,1,NA,1,2,2,0,0,1,2,1,1,1,2,0,0,0,2,0,0,1,1,0,0,1,1,1
1274820,2011-05-16 14:00:29,2011-05-16 14:10:15,1,1,100,1,NA,NA,NA,NA,1,1,NA,2,1,0,0,2,2,2,2,2,2,2,1,1,2,1,2,0,2,0,0,0,2,2
431569,2011-05-16 13:57:02,2011-05-16 14:10:29,1,1,95,1,1,NA,NA,1,1,1,1,0,0,0,0,1,2,1,1,1,1,2,1,1,1,1,0,0,2,1,0,1,2,1
1310852,2011-05-16 13:55:08,2011-05-16 14:10:35,1,1,90,NA,1,1,NA,1,1,NA,NA,1,2,1,1,1,2,0,2,0,1,2,2,2,1,2,1,2,1,0,0,1,0,1
1260382,2011-05-16 13:54:54,2011-05-16 14:10:39,1,1,100,1,1,1,NA,1,1,NA,1,0,1,1,0,1,1,1,1,1,0,2,0,1,2,0,1,0,2,2,2,2,0,0
1275828,2011-05-16 14:01:21,2011-05-16 14:11:22,1,1,100,1,1,1,NA,NA,NA,NA,NA,0,0,2,0,2,1,1,1,1,0,2,2,1,1,2,2,2,1,0,1,2,1,1
1206270,2011-05-16 13:57:28,2011-05-16 14:11:31,1,1,89,1,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,NA,NA,1,0,0,NA,0,NA,0,NA,NA,0,1,NA,NA,NA,NA
1267590,2011-05-16 13:56:53,2011-05-16 14:11:44,1,1,100,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1242154,2011-05-16 13:54:45,2011-05-16 14:12:23,1,1,100,1,1,1,1,1,1,NA,NA,1,2,0,0,2,2,2,NA,1,2,NA,NA,1,2,NA,2,NA,0,1,NA,1,NA,NA
1282626,2011-05-16 13:54:51,2011-05-16 14:12:32,1,1,100,1,1,1,1,NA,1,NA,NA,0,2,0,0,2,2,2,2,2,0,1,1,0,2,0,1,1,2,1,0,1,0,1
800503,2011-05-16 14:02:58,2011-05-16 14:13:06,1,1,86,1,NA,1,NA,1,NA,1,1,2,2,0,0,0,2,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0
628497,2011-05-16 14:05:47,2011-05-16 14:13:08,1,1,100,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807310,2011-05-16 13:57:27,2011-05-16 14:13:30,1,1,100,1,1,1,NA,1,1,1,1,1,2,1,0,2,2,2,2,2,0,2,2,2,2,0,2,0,1,1,1,2,0,2
1274110,2011-05-16 13:54:47,2011-05-16 14:13:54,1,1,50,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
1234968,2011-05-16 14:02:17,2011-05-16 14:14:03,1,1,100,1,1,1,1,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
665111,2011-05-16 13:56:23,2011-05-16 14:14:13,1,1,92,1,1,1,1,1,1,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,1,NA,1,NA,1,NA
993716,2011-05-16 13:59:52,2011-05-16 14:14:52,1,1,100,1,1,1,NA,1,1,NA,NA,0,1,1,0,0,0,2,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,0
1266842,2011-05-16 14:05:44,2011-05-16 14:14:54,1,1,100,1,1,NA,NA,NA,NA,NA,NA,1,2,0,1,2,2,1,2,0,2,0,1,1,2,0,0,2,1,0,0,2,0,0
